Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,mutation_rate,mutation_variance
883,8840,1.049036979675293,1.0357863903045654,1.0359721183776855,1.0230650901794434,10,20.55257402479162,tiger_cat,0.1304638385772705,red_fox,0.08141463994979858,grey_fox,0.05846409127116203,lynx,0.024896152317523956,Egyptian_cat,0.022868817672133446,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
884,8850,1.04401695728302,1.03243887424469,1.0320370197296143,1.0194947719573975,10,19.739623643730198,tiger_cat,0.1195024698972702,red_fox,0.07549680769443512,grey_fox,0.05363710597157478,lynx,0.021966340020298958,Egyptian_cat,0.02095271646976471,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
885,8860,1.040818691253662,1.0310450792312622,1.0314561128616333,1.0180702209472656,10,19.023211153101183,tiger_cat,0.12097436189651489,red_fox,0.08016180247068405,grey_fox,0.055383216589689255,lynx,0.021947549656033516,Egyptian_cat,0.020815925672650337,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
886,8870,1.0388869047164917,1.0295207500457764,1.0308465957641602,1.0139143466949463,10,20.05321765498405,tiger_cat,0.1299973726272583,red_fox,0.09111372381448746,grey_fox,0.06602125614881516,lynx,0.02422645129263401,Egyptian_cat,0.02193751372396946,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
887,8880,1.0366623401641846,1.0245826244354248,1.0241596698760986,1.0115586519241333,10,20.59075947984217,tiger_cat,0.12028960138559341,red_fox,0.08366136997938156,grey_fox,0.06266377121210098,Egyptian_cat,0.020389631390571594,lynx,0.01979341171681881,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
888,8890,1.026938796043396,1.020437479019165,1.0222728252410889,0.9991869330406189,10,22.03607889662186,tiger_cat,0.11610208451747894,red_fox,0.08915542811155319,grey_fox,0.06443095207214355,Egyptian_cat,0.019621744751930237,kit_fox,0.01947929710149765,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
889,8900,1.0265694856643677,1.0145783424377441,1.016325831413269,0.9965037703514099,10,21.40364708846063,tiger_cat,0.11725392192602158,red_fox,0.09070691466331482,grey_fox,0.06870104372501373,lynx,0.020213456824421883,Egyptian_cat,0.01981625147163868,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
890,8910,1.0294233560562134,1.010157585144043,1.0101369619369507,0.9882148504257202,10,17.26769008253235,tiger_cat,0.11647726595401764,red_fox,0.08702384680509567,grey_fox,0.06324723362922668,lynx,0.020035140216350555,Egyptian_cat,0.01992643065750599,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
891,8920,1.0423951148986816,1.0155980587005615,1.0143488645553589,1.0035336017608643,10,20.421775919705446,tiger_cat,0.12361009418964386,red_fox,0.08117025345563889,grey_fox,0.06030051037669182,lynx,0.02034200355410576,Egyptian_cat,0.019892072305083275,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
892,8930,1.0570663213729858,1.0187673568725586,1.0178449153900146,0.9933930039405823,10,19.931483413975577,tiger_cat,0.13174687325954437,red_fox,0.07470933347940445,grey_fox,0.06078977510333061,lynx,0.02083927020430565,Egyptian_cat,0.020122965797781944,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
