Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
40,1640,0.27580511569976807,0.25916165113449097,0.2601342797279358,0.2263004183769226,40,30.787213960073892,espresso,0.7276357412338257,cup,0.04204681143164635,plate,0.010841868817806244,coffeepot,0.006178542040288448,bagel,0.003463232424110174,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
41,1680,0.2870350480079651,0.26375383138656616,0.26244884729385376,0.24673312902450562,40,30.752945946894684,espresso,0.7162987589836121,cup,0.04524689167737961,plate,0.011237152852118015,coffeepot,0.006591664161533117,bagel,0.003376368898898363,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
42,1720,0.28645598888397217,0.26615282893180847,0.26604804396629333,0.24306166172027588,40,32.35607005150095,espresso,0.7169325351715088,cup,0.046452704817056656,plate,0.011476046405732632,coffeepot,0.007097175344824791,bagel,0.0033764326944947243,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
43,1760,0.28889399766921997,0.26982325315475464,0.2687959671020508,0.24012470245361328,40,32.77862038801395,espresso,0.7145563364028931,cup,0.04440034180879593,plate,0.010736636817455292,coffeepot,0.006428011693060398,bagel,0.0034116602037101984,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
44,1800,0.2945045232772827,0.27361810207366943,0.27493375539779663,0.2503353953361511,40,33.0494917512754,espresso,0.7089448571205139,cup,0.04768101125955582,plate,0.01147398166358471,coffeepot,0.006980648264288902,bagel,0.0034363246522843838,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
45,1840,0.3016800284385681,0.27837520837783813,0.2789877653121948,0.25488388538360596,40,32.66241131029189,espresso,0.7016962170600891,cup,0.0449553057551384,plate,0.011336478404700756,coffeepot,0.006451185792684555,bagel,0.0034113640431314707,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
46,1880,0.3032309412956238,0.2810547351837158,0.28056028485298157,0.2547729015350342,40,34.43438097237936,espresso,0.7001716494560242,cup,0.04494389146566391,plate,0.011224165558815002,coffeepot,0.006737049203366041,bagel,0.0034688289742916822,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
47,1920,0.3105456233024597,0.2900296151638031,0.29047486186027527,0.2659265995025635,40,35.63909360489153,espresso,0.6928250193595886,cup,0.049270063638687134,plate,0.013418913818895817,coffeepot,0.007305772975087166,chocolate_sauce,0.0033928859047591686,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
48,1960,0.3098391890525818,0.2941752076148987,0.2944449484348297,0.260389506816864,40,33.00017294154586,espresso,0.6937344670295715,cup,0.04280349239706993,plate,0.011045078746974468,coffeepot,0.006662244908511639,bagel,0.0035956057254225016,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
49,2000,0.32659316062927246,0.29909461736679077,0.2968491017818451,0.2781137228012085,40,34.9079248386485,espresso,0.6772488951683044,cup,0.045308616012334824,plate,0.011523770168423653,coffeepot,0.007000082638114691,bagel,0.003828598652034998,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
50,2040,0.32715630531311035,0.303679883480072,0.30199116468429565,0.28594720363616943,40,35.498787657386124,espresso,0.6764659285545349,cup,0.056018371134996414,plate,0.011714769527316093,coffeepot,0.007219596765935421,chocolate_sauce,0.003596985712647438,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
51,2080,0.33334994316101074,0.30541276931762695,0.3060605525970459,0.2734000086784363,40,33.856798915769915,espresso,0.6701318025588989,cup,0.05682888627052307,plate,0.011801806278526783,coffeepot,0.007229947950690985,chocolate_sauce,0.0034782125148922205,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
52,2120,0.33508068323135376,0.3093961179256439,0.3106660842895508,0.27626311779022217,40,36.42017319058939,espresso,0.6683593392372131,cup,0.057682424783706665,plate,0.011892847716808319,coffeepot,0.0069531709887087345,wooden_spoon,0.003478600410744548,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
53,2160,0.34347808361053467,0.31247395277023315,0.3119322657585144,0.27238792181015015,40,37.403020863440474,espresso,0.6603091359138489,cup,0.060594264417886734,plate,0.012334803119301796,coffeepot,0.007251066621392965,bagel,0.0037642980460077524,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
54,2200,0.3479156494140625,0.31669315695762634,0.31537696719169617,0.287494957447052,40,35.58845699333928,espresso,0.6556549072265625,cup,0.060972027480602264,plate,0.012254648841917515,coffeepot,0.007215072400867939,bagel,0.00362525787204504,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
55,2240,0.3606269955635071,0.32697921991348267,0.32820388674736023,0.28737926483154297,40,33.16660389851698,espresso,0.6433058381080627,cup,0.06165061146020889,plate,0.013223428279161453,coffeepot,0.007931808941066265,bagel,0.003919016569852829,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
