Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
73,5180,0.5635430812835693,0.5220961570739746,0.5210300087928772,0.47359174489974976,70,35.81261896543358,espresso,0.4495357573032379,cup,0.08109933882951736,plate,0.021555574610829353,wooden_spoon,0.013092149049043655,coffeepot,0.008010493591427803,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
74,5250,0.5732239484786987,0.5321708917617798,0.5300301313400269,0.48696911334991455,70,34.77745759106981,espresso,0.43989187479019165,cup,0.07788974791765213,plate,0.019502516835927963,wooden_spoon,0.013061885721981525,coffeepot,0.007877231575548649,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
75,5320,0.5862289667129517,0.5377865433692932,0.5370838046073914,0.4766215682029724,70,36.230456987385374,espresso,0.4278705418109894,cup,0.07564544677734375,plate,0.020932689309120178,wooden_spoon,0.014118630439043045,coffeepot,0.008314477279782295,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
76,5390,0.5900500416755676,0.5456058979034424,0.5452589988708496,0.504165530204773,70,36.91721343160519,espresso,0.4242633879184723,cup,0.08474447578191757,plate,0.019625307992100716,wooden_spoon,0.01434304192662239,coffeepot,0.008118736557662487,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
77,5460,0.5917195081710815,0.5504039525985718,0.5482116341590881,0.5065592527389526,70,37.546427410648036,espresso,0.42471715807914734,cup,0.08317064493894577,plate,0.017430268228054047,wooden_spoon,0.016463160514831543,chocolate_sauce,0.008450525812804699,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
78,5530,0.6034185886383057,0.5560778379440308,0.5546422004699707,0.5242704153060913,70,36.5423081504115,espresso,0.41216355562210083,cup,0.08203571289777756,plate,0.017706366255879402,wooden_spoon,0.015546957030892372,chocolate_sauce,0.008404376916587353,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
79,5600,0.5906651020050049,0.5622717142105103,0.5640701055526733,0.5251061916351318,70,36.24996268499712,espresso,0.42507556080818176,cup,0.08103793859481812,plate,0.017639944329857826,wooden_spoon,0.01583860069513321,chocolate_sauce,0.008623292669653893,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
80,5670,0.5964900255203247,0.5680772662162781,0.5711469650268555,0.5380772352218628,70,35.67588158777594,espresso,0.4207735061645508,cup,0.07818590104579926,plate,0.017487242817878723,wooden_spoon,0.01726837456226349,chocolate_sauce,0.008475025184452534,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
81,5740,0.6047996282577515,0.5706448554992676,0.5686097145080566,0.5360369682312012,70,36.635420802804695,espresso,0.41188791394233704,cup,0.08334623277187347,wooden_spoon,0.016720134764909744,plate,0.01660003513097763,chocolate_sauce,0.008475630544126034,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
82,5810,0.6083676218986511,0.5744860172271729,0.5750021934509277,0.5450656414031982,70,37.05417746861912,espresso,0.40747445821762085,cup,0.08895821869373322,plate,0.01832379214465618,wooden_spoon,0.015798188745975494,coffeepot,0.007979946210980415,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
