Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
229,9200,0.9267088174819946,0.9218517541885376,0.9219775199890137,0.9083600640296936,40,33.57547888596962,cup,0.09179174154996872,espresso,0.08725247532129288,plate,0.03856798633933067,wooden_spoon,0.018492601811885834,spatula,0.016593409702181816,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
230,9240,0.9278945922851562,0.9221780896186829,0.9233064651489258,0.914850115776062,40,35.43970910914022,cup,0.09051616489887238,espresso,0.08722846210002899,plate,0.039294399321079254,wooden_spoon,0.018401609733700752,spatula,0.01616273634135723,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
231,9280,0.9276552796363831,0.9209820032119751,0.9216556549072266,0.9103828072547913,40,35.77303565156264,cup,0.09088512510061264,espresso,0.08858174085617065,plate,0.039246778935194016,wooden_spoon,0.018530193716287613,spatula,0.014976304024457932,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
232,9320,0.9290200471878052,0.920815110206604,0.9213088750839233,0.9073944091796875,40,36.20943909679945,cup,0.09055133908987045,espresso,0.0894961729645729,plate,0.038345158100128174,wooden_spoon,0.01956012286245823,spatula,0.014834627509117126,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
233,9360,0.9305917024612427,0.922398567199707,0.92376708984375,0.9112606048583984,40,35.57548178636675,cup,0.08757325261831284,espresso,0.08351518213748932,plate,0.036166880279779434,wooden_spoon,0.018169282004237175,spatula,0.014877748675644398,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
234,9400,0.9314457774162292,0.9239915609359741,0.9245349168777466,0.9155043363571167,40,37.38698085880152,espresso,0.08840599656105042,cup,0.08660876750946045,plate,0.03759467974305153,wooden_spoon,0.019853942096233368,spatula,0.01654656231403351,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
235,9440,0.9361317157745361,0.925348162651062,0.9255338907241821,0.9135918021202087,40,39.19702639709967,espresso,0.08305518329143524,cup,0.08271671086549759,plate,0.039487455040216446,wooden_spoon,0.019191566854715347,spatula,0.017715372145175934,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
236,9480,0.9447351098060608,0.925350546836853,0.9248833656311035,0.914692223072052,40,40.25783016759457,cup,0.08463156968355179,espresso,0.08436455577611923,plate,0.04209629446268082,wooden_spoon,0.029361436143517494,spatula,0.01923075132071972,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
237,9520,0.9423171877861023,0.9268892407417297,0.9263113141059875,0.9115408062934875,40,40.99229909553676,cup,0.08577802777290344,espresso,0.08475419133901596,plate,0.04442354664206505,wooden_spoon,0.028079727664589882,spatula,0.018467236310243607,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
238,9560,0.9428561329841614,0.9298474192619324,0.9299687147140503,0.9102555513381958,40,40.022287003352275,espresso,0.08352082967758179,cup,0.07880209386348724,plate,0.04446155205368996,wooden_spoon,0.026374446228146553,spatula,0.01966029591858387,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
