Generation,Fitness function evaluations,Best fitness,Average fitness,Median fitness,Worst Fitness,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5
445,13380,1.3731520175933838,1.3288514614105225,1.3326334953308105,1.2704955339431763,32.74195430844589,tiger_cat,0.40509048104286194,red_fox,0.03195448964834213,lynx,0.031681109219789505,Egyptian_cat,0.02680412493646145,tabby,0.026648061349987984
446,13410,1.3825324773788452,1.3339476585388184,1.3310210704803467,1.2932134866714478,33.78380348348381,tiger_cat,0.414089560508728,lynx,0.031863294541835785,red_fox,0.031582996249198914,Egyptian_cat,0.027901776134967804,tabby,0.027700724080204964
447,13440,1.382845163345337,1.3397272825241089,1.3427900075912476,1.2636505365371704,34.49636461854277,tiger_cat,0.41261181235313416,Egyptian_cat,0.031218502670526505,lynx,0.03009692020714283,red_fox,0.029846886172890663,tabby,0.027667982503771782
448,13470,1.395495891571045,1.3491482734680176,1.3472553491592407,1.3154723644256592,33.487077430270816,tiger_cat,0.4246284067630768,red_fox,0.029176613315939903,lynx,0.02908567152917385,Egyptian_cat,0.026640834286808968,tabby,0.02609981596469879
449,13500,1.419191837310791,1.3613027334213257,1.3509776592254639,1.3176549673080444,31.972918467171517,tiger_cat,0.4495200216770172,red_fox,0.030293039977550507,lynx,0.02672708034515381,tabby,0.02601076290011406,Egyptian_cat,0.025814954191446304
450,13530,1.424464225769043,1.3758354187011719,1.3752658367156982,1.3293428421020508,29.091607241767164,tiger_cat,0.45286163687705994,red_fox,0.028414549306035042,lynx,0.027678849175572395,Egyptian_cat,0.026550859212875366,tabby,0.02627292275428772
451,13560,1.4273929595947266,1.3862711191177368,1.3915517330169678,1.3469443321228027,27.389259221322074,tiger_cat,0.4552760124206543,tabby,0.027887744829058647,red_fox,0.027840815484523773,lynx,0.02606448531150818,Egyptian_cat,0.02581912837922573
452,13590,1.4453604221343994,1.3953396081924438,1.3913081884384155,1.3582968711853027,28.63769663661895,tiger_cat,0.47259655594825745,lynx,0.029380127787590027,tabby,0.02778783068060875,red_fox,0.027152009308338165,Egyptian_cat,0.026749776676297188
453,13620,1.4375810623168945,1.4012620449066162,1.4046722650527954,1.333816409111023,27.695686025237848,tiger_cat,0.4654121398925781,lynx,0.028462214395403862,tabby,0.02806747518479824,Egyptian_cat,0.027866730466485023,red_fox,0.027804680168628693
454,13650,1.4533886909484863,1.4059793949127197,1.4049246311187744,1.367922306060791,27.617660816438914,tiger_cat,0.47685033082962036,lynx,0.03022131510078907,tabby,0.02695525251328945,Egyptian_cat,0.026268333196640015,red_fox,0.023507079109549522
455,13680,1.4630217552185059,1.409580945968628,1.41196608543396,1.3655076026916504,27.262101976034344,tiger_cat,0.48631155490875244,tabby,0.028205297887325287,lynx,0.02700328268110752,Egyptian_cat,0.025910519063472748,red_fox,0.023286720737814903
456,13710,1.4498693943023682,1.4102058410644531,1.417008399963379,1.349971055984497,29.59332674904562,tiger_cat,0.4752310812473297,Egyptian_cat,0.030603619292378426,lynx,0.028854571282863617,tabby,0.026467222720384598,red_fox,0.025335468351840973
457,13740,1.4477171897888184,1.406481385231018,1.4023425579071045,1.372612476348877,30.351643434234667,tiger_cat,0.4740011990070343,Egyptian_cat,0.02953200228512287,lynx,0.028107915073633194,red_fox,0.026269299909472466,tabby,0.025581715628504753
458,13770,1.4464905261993408,1.4089939594268799,1.4142110347747803,1.361762285232544,31.184921133191793,tiger_cat,0.4758511185646057,red_fox,0.02938414178788662,lynx,0.02914179489016533,Egyptian_cat,0.02891564555466175,tabby,0.0282317865639925
459,13800,1.4687899351119995,1.419643521308899,1.422194480895996,1.3769357204437256,32.212269371794775,tiger_cat,0.4964350759983063,red_fox,0.02758766897022724,Egyptian_cat,0.0262652188539505,tabby,0.0255927462130785,lynx,0.024875367060303688
460,13830,1.4614412784576416,1.4168941974639893,1.4160560369491577,1.3822267055511475,32.79195239006726,tiger_cat,0.48821744322776794,lynx,0.03298717737197876,Egyptian_cat,0.028809498995542526,tabby,0.026800895109772682,red_fox,0.026736879721283913
461,13860,1.4489697217941284,1.4186569452285767,1.4194616079330444,1.3770639896392822,32.83151894923922,tiger_cat,0.479195237159729,red_fox,0.030266279354691505,Egyptian_cat,0.029941949993371964,lynx,0.028119409456849098,tabby,0.026753541082143784
462,13890,1.4547395706176758,1.416786551475525,1.4166550636291504,1.3815867900848389,32.976414517237885,tiger_cat,0.4845401346683502,Egyptian_cat,0.029952673241496086,red_fox,0.029799029231071472,tabby,0.026451701298356056,lynx,0.026229599490761757
463,13920,1.4601269960403442,1.419061303138733,1.4169576168060303,1.380616545677185,30.879840924517282,tiger_cat,0.4909053444862366,Egyptian_cat,0.030836230143904686,red_fox,0.030727948993444443,tabby,0.026723245158791542,lynx,0.02461271546781063
464,13950,1.5003496408462524,1.4209284782409668,1.4225070476531982,1.3661301136016846,27.383938410840045,tiger_cat,0.5235713124275208,Egyptian_cat,0.030336378142237663,lynx,0.028040820732712746,tabby,0.02794339507818222,red_fox,0.023232217878103256
465,13980,1.4644526243209839,1.4276376962661743,1.4317179918289185,1.3717281818389893,24.7552140570529,tiger_cat,0.493863582611084,lynx,0.03183440864086151,Egyptian_cat,0.030266517773270607,red_fox,0.02944609895348549,tabby,0.02695191465318203
466,14010,1.4745618104934692,1.436212182044983,1.4349385499954224,1.3947505950927734,27.742749824061463,tiger_cat,0.5018615126609802,Egyptian_cat,0.029687529429793358,red_fox,0.027284616604447365,tabby,0.026093514636158943,lynx,0.02492520399391651
